,ts_code,trade_time,close,open,high,low,vol,amount
103,600000.SH,2025-03-21 13:17:00,10.51,10.51,10.52,10.5,216600.0,2276430.0
104,600000.SH,2025-03-21 13:16:00,10.51,10.51,10.51,10.5,209309.0,2199136.0
105,600000.SH,2025-03-21 13:15:00,10.51,10.51,10.52,10.51,75643.0,795110.0
106,600000.SH,2025-03-21 13:14:00,10.51,10.51,10.52,10.51,202700.0,2130513.0
107,600000.SH,2025-03-21 13:13:00,10.51,10.52,10.53,10.51,122800.0,1291965.0
108,600000.SH,2025-03-21 13:12:00,10.52,10.53,10.54,10.52,139500.0,1468415.0
109,600000.SH,2025-03-21 13:11:00,10.53,10.52,10.54,10.51,450600.0,4743162.0
110,600000.SH,2025-03-21 13:10:00,10.52,10.53,10.53,10.52,80400.0,845852.0
111,600000.SH,2025-03-21 13:09:00,10.53,10.53,10.53,10.52,251401.0,2646313.0
112,600000.SH,2025-03-21 13:08:00,10.53,10.54,10.55,10.53,139900.0,1474092.0
113,600000.SH,2025-03-21 13:07:00,10.54,10.54,10.55,10.54,55800.0,588208.0
114,600000.SH,2025-03-21 13:06:00,10.55,10.54,10.55,10.54,543500.0,5733567.0
115,600000.SH,2025-03-21 13:05:00,10.54,10.54,10.55,10.54,426400.0,4494862.0
116,600000.SH,2025-03-21 13:04:00,10.54,10.55,10.55,10.54,205600.0,2168005.0
117,600000.SH,2025-03-21 13:03:00,10.56,10.56,10.57,10.55,98800.0,1042954.0
118,600000.SH,2025-03-21 13:02:00,10.56,10.56,10.57,10.55,310200.0,3277360.0
119,600000.SH,2025-03-21 13:01:00,10.57,10.57,10.58,10.56,275400.0,2909835.0
120,600000.SH,2025-03-21 11:30:00,10.57,10.56,10.58,10.55,327600.0,3459550.0
121,600000.SH,2025-03-21 11:29:00,10.55,10.57,10.57,10.54,244200.0,2578398.0
122,600000.SH,2025-03-21 11:28:00,10.56,10.57,10.57,10.56,108600.0,1147458.0
123,600000.SH,2025-03-21 11:27:00,10.57,10.57,10.57,10.56,132400.0,1399089.0
124,600000.SH,2025-03-21 11:26:00,10.57,10.56,10.57,10.55,313200.0,3308814.0
125,600000.SH,2025-03-21 11:25:00,10.56,10.58,10.58,10.55,187900.0,1984542.0
126,600000.SH,2025-03-21 11:24:00,10.57,10.57,10.57,10.56,193500.0,2045325.0
127,600000.SH,2025-03-21 11:23:00,10.58,10.58,10.59,10.57,242800.0,2568183.0
128,600000.SH,2025-03-21 11:22:00,10.58,10.58,10.59,10.58,48500.0,513215.0
129,600000.SH,2025-03-21 11:21:00,10.57,10.56,10.59,10.56,1219900.0,12915792.0
130,600000.SH,2025-03-21 11:20:00,10.56,10.59,10.59,10.56,764800.0,8098483.0
131,600000.SH,2025-03-21 11:19:00,10.58,10.57,10.58,10.57,186900.0,1977023.0
132,600000.SH,2025-03-21 11:18:00,10.58,10.56,10.58,10.56,51100.0,540151.0
133,600000.SH,2025-03-21 11:17:00,10.58,10.56,10.58,10.56,351900.0,3717349.0
134,600000.SH,2025-03-21 11:16:00,10.55,10.55,10.56,10.54,203000.0,2141476.0
135,600000.SH,2025-03-21 11:15:00,10.55,10.56,10.56,10.55,133600.0,1409795.0
136,600000.SH,2025-03-21 11:14:00,10.56,10.55,10.56,10.55,86000.0,907338.0
137,600000.SH,2025-03-21 11:13:00,10.55,10.56,10.57,10.55,121400.0,1281353.0
138,600000.SH,2025-03-21 11:12:00,10.56,10.55,10.56,10.55,181200.0,1913409.0
139,600000.SH,2025-03-21 11:11:00,10.55,10.55,10.56,10.55,224100.0,2365280.0
140,600000.SH,2025-03-21 11:10:00,10.55,10.55,10.56,10.55,62900.0,663791.0
141,600000.SH,2025-03-21 11:09:00,10.55,10.56,10.56,10.55,278500.0,2939544.0
142,600000.SH,2025-03-21 11:08:00,10.55,10.55,10.56,10.55,54100.0,570775.0
143,600000.SH,2025-03-21 11:07:00,10.56,10.54,10.56,10.54,303500.0,3202118.0
144,600000.SH,2025-03-21 11:06:00,10.54,10.55,10.55,10.53,531500.0,5603114.0
145,600000.SH,2025-03-21 11:05:00,10.55,10.57,10.57,10.55,334500.0,3531139.0
146,600000.SH,2025-03-21 11:04:00,10.56,10.57,10.58,10.56,210200.0,2221436.0
147,600000.SH,2025-03-21 11:03:00,10.56,10.58,10.58,10.56,291300.0,3079896.0
148,600000.SH,2025-03-21 11:02:00,10.59,10.59,10.6,10.58,290100.0,3071283.0
149,600000.SH,2025-03-21 11:01:00,10.59,10.6,10.6,10.59,346300.0,3669798.0
150,600000.SH,2025-03-21 11:00:00,10.6,10.62,10.62,10.6,556732.0,5906827.0
151,600000.SH,2025-03-21 10:59:00,10.61,10.61,10.62,10.61,227219.0,2412198.0
152,600000.SH,2025-03-21 10:58:00,10.62,10.62,10.62,10.61,190800.0,2025690.0
153,600000.SH,2025-03-21 10:57:00,10.61,10.61,10.62,10.61,45900.0,487060.0
154,600000.SH,2025-03-21 10:56:00,10.61,10.62,10.62,10.61,152800.0,1621777.0
